meter_idx,cluster_id,is_outlier,meter_id
0,2,0,0
1,2,0,1
2,2,0,2
3,2,0,3
4,2,0,4
5,2,0,5
6,2,0,6
7,2,0,7
8,2,0,8
9,2,0,9
10,2,0,10
11,0,0,11
12,0,0,12
13,2,0,13
14,2,0,14
15,2,0,15
16,2,0,16
17,2,0,17
18,2,0,18
19,0,0,19
20,2,0,20
21,2,0,21
22,2,0,22
23,2,0,23
24,2,0,24
25,2,0,25
26,2,0,26
27,2,0,27
28,2,0,28
29,0,0,29
30,2,0,30
31,0,0,31
32,2,0,32
33,2,0,33
34,2,0,34
35,2,0,35
36,0,0,36
37,2,0,37
38,2,0,38
39,2,0,39
40,2,0,40
41,0,0,41
42,2,0,42
43,2,0,43
44,2,0,44
45,2,0,45
46,2,0,46
47,2,0,47
48,2,0,48
49,2,0,49
50,2,0,50
51,2,0,51
52,2,0,52
53,2,0,53
54,2,0,54
55,0,0,55
56,2,0,56
57,2,0,57
58,2,0,58
59,2,0,59
60,2,0,60
61,2,0,61
62,2,0,62
63,2,0,63
64,2,0,64
65,2,0,65
66,2,0,66
67,2,0,67
68,0,0,68
69,2,0,69
70,2,0,70
71,2,0,71
72,2,0,72
73,2,0,73
74,2,0,74
75,0,0,75
76,2,0,76
77,2,0,77
78,2,0,78
79,2,0,79
80,2,0,80
81,2,0,81
82,0,0,82
83,1,0,83
84,0,0,84
85,0,0,85
86,0,0,86
87,0,0,87
88,1,0,88
89,1,0,89
90,1,0,90
91,1,0,91
92,2,0,92
93,1,0,93
94,1,0,94
95,1,0,95
96,2,0,96
97,0,0,97
98,2,0,98
99,0,0,99
100,2,0,100
101,1,0,101
102,0,0,102
103,0,0,103
104,2,0,104
105,2,0,105
106,2,0,106
107,2,0,107
108,0,0,108
109,0,0,109
110,0,0,110
111,0,0,111
112,0,0,112
113,0,0,113
114,2,0,114
115,2,0,115
116,2,0,116
117,2,0,117
118,2,0,118
119,2,1,119
120,2,0,120
121,2,0,121
122,2,0,122
123,0,0,123
124,0,0,124
125,2,0,125
126,0,0,126
127,0,0,127
128,2,1,128
129,2,0,129
130,2,0,130
131,2,1,131
132,2,0,132
133,2,1,133
134,2,0,134
135,0,0,135
136,0,0,136
137,0,0,137
138,0,0,138
139,0,0,139
140,0,0,140
141,0,0,141
142,0,0,142
143,0,0,143
144,0,0,144
145,0,0,145
146,0,0,146
147,0,0,147
148,0,0,148
149,0,0,149
150,0,1,150
151,0,0,151
152,0,0,152
153,0,1,153
154,0,0,154
155,0,1,155
156,0,0,156
157,0,0,157
158,0,0,158
159,0,0,159
160,0,0,160
161,0,0,161
162,0,0,162
163,0,0,163
164,0,0,164
165,0,0,165
166,0,0,166
167,0,1,167
168,0,0,168
169,0,0,169
170,0,0,170
171,0,0,171
172,0,0,172
173,0,0,173
174,0,0,174
175,0,1,175
176,0,0,176
177,0,0,177
178,0,0,178
179,0,1,179
180,0,0,180
181,0,0,181
182,0,0,182
183,0,0,183
184,0,0,184
185,0,0,185
186,0,1,186
187,0,0,187
188,0,0,188
189,0,0,189
190,0,0,190
191,0,0,191
192,0,0,192
193,0,0,193
194,0,0,194
195,0,0,195
196,0,0,196
197,0,0,197
198,0,0,198
199,0,1,199
200,0,0,200
201,0,0,201
202,0,0,202
203,0,0,203
204,0,0,204
205,0,0,205
206,0,0,206
207,0,0,207
208,0,0,208
209,0,0,209
210,0,0,210
211,0,0,211
212,0,0,212
213,0,0,213
214,0,0,214
215,0,0,215
216,0,0,216
217,0,0,217
218,0,0,218
219,0,0,219
220,0,0,220
221,0,0,221
222,0,0,222
223,0,0,223
224,0,0,224
225,0,0,225
226,0,0,226
227,0,0,227
228,0,0,228
229,0,0,229
230,0,0,230
231,0,0,231
232,0,0,232
233,0,1,233
234,0,0,234
235,0,0,235
236,0,1,236
237,0,0,237
238,0,0,238
239,0,0,239
240,0,0,240
241,0,0,241
242,0,0,242
243,0,0,243
244,0,0,244
245,0,0,245
246,0,0,246
247,0,0,247
248,0,0,248
249,0,0,249
250,0,0,250
251,0,0,251
252,0,0,252
253,0,0,253
254,0,0,254
255,0,0,255
256,0,0,256
257,0,0,257
258,0,0,258
259,0,0,259
260,0,0,260
261,0,0,261
262,0,0,262
263,0,0,263
264,0,0,264
265,0,0,265
266,0,0,266
267,0,0,267
268,0,0,268
269,0,0,269
270,0,0,270
271,0,0,271
272,0,0,272
273,0,0,273
274,0,0,274
275,0,0,275
276,0,1,276
277,0,0,277
278,0,0,278
279,0,0,279
280,0,0,280
281,0,0,281
282,0,0,282
283,0,0,283
284,0,0,284
285,0,0,285
286,1,0,286
287,1,0,287
288,0,0,288
289,0,0,289
290,1,1,290
291,1,0,291
292,1,0,292
293,1,0,293
294,1,0,294
295,1,0,295
296,1,1,296
297,1,0,297
298,2,0,298
299,2,0,299
300,1,0,300
301,1,0,301
302,1,1,302
303,1,0,303
304,2,0,304
305,1,0,305
306,1,0,306
307,1,0,307
308,1,1,308
309,1,0,309
310,0,0,310
311,1,0,311
312,1,0,312
313,1,1,313
314,1,1,314
315,1,1,315
316,1,0,316
317,2,0,317
318,2,0,318
319,2,0,319
320,2,0,320
